Station:;rmr;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
date;[Min]29;[Avg]29;[Max]29;[data%]29;[Min]26;[Avg]26;[Max]26;[data%]26;[Min]VV5;[Avg]VV5;[Max]VV5;[data%]VV5;[Min]27;[Avg]27;[Max]27;[data%]27;[Min]DV5;[Avg]DV5;[Max]DV5;[data%]DV5;[Min]RS2;[Avg]RS2;[Max]RS2;[data%]RS2;[Min]28;[Avg]28;[Max]28;[data%] 28
2016-10-26;9.84;16.39;24.82;100.00;0.00;2.20;8.98;100.00;0.00;2.52;10.33;100.00;-94.10;265.90;265.90;100.00;-94.90;265.10;265.10;100.00;0.00;345.27;1051.00;100.00;0.00;328.79;1009.00;100.00
2016-10-27;12.66;15.07;18.51;100.00;0.00;2.28;7.74;100.00;0.00;2.59;8.29;100.00;-76.78;283.22;283.22;100.00;-77.03;282.97;282.97;100.00;0.00;235.71;1387.00;100.00;0.00;220.23;1146.00;100.00
2016-10-28;11.02;15.06;19.74;100.00;0.00;1.72;6.98;100.00;0.00;1.96;7.78;100.00;-66.48;293.52;293.52;100.00;-65.77;294.23;294.23;100.00;0.00;254.58;1437.00;100.00;0.00;239.57;1093.00;100.00
2016-10-29;10.95;15.44;19.99;100.00;0.00;2.03;8.09;100.00;0.00;2.34;8.47;100.00;-121.44;238.56;238.56;100.00;-118.43;241.57;241.57;100.00;0.00;321.13;1276.00;100.00;0.00;303.53;1055.00;100.00
2016-10-30;13.00;14.90;19.11;100.00;0.00;1.75;5.94;100.00;0.00;1.98;6.41;100.00;-123.22;236.78;236.78;100.00;-126.20;233.80;233.80;100.00;0.00;162.72;1020.00;100.00;0.00;152.89;868.00;100.00
2016-10-31;12.09;14.69;20.21;100.00;0.00;1.84;6.86;100.00;0.00;2.08;7.88;100.00;-93.15;266.85;266.85;100.00;-90.29;269.71;269.71;100.00;0.00;209.98;1716.00;100.00;0.00;195.12;1041.00;100.00
2016-11-01;10.01;14.71;19.28;100.00;0.00;2.07;7.74;100.00;0.00;2.36;7.80;100.00;-93.10;266.90;266.90;100.00;-94.47;265.53;265.53;100.00;0.00;352.92;1066.00;100.00;0.00;336.50;1017.00;100.00
2016-11-02;9.11;15.48;21.17;100.00;0.00;1.56;7.00;100.00;0.00;1.80;7.78;100.00;-142.66;217.34;217.34;100.00;-149.43;210.57;210.57;100.00;0.00;349.17;1057.00;100.00;0.00;333.62;1016.00;100.00
2016-11-03;9.98;16.05;22.03;100.00;0.00;1.66;8.45;100.00;0.00;1.90;9.62;100.00;-115.56;244.44;244.44;100.00;-118.92;241.08;241.08;100.00;0.00;347.50;1045.00;100.00;0.00;331.96;1002.00;100.00
2016-11-04;11.36;15.08;19.94;100.00;0.00;1.64;7.55;100.00;0.00;1.88;8.31;100.00;-102.23;257.78;257.78;100.00;-112.72;247.28;247.28;100.00;0.00;241.71;1427.00;100.00;0.00;226.97;1206.00;100.00
