Station:;cgr;;;;;;;;;;;;;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
date;[Min]TA2;[Avg]TA2;[Max]TA2;[Data%]TA2;[Min]VV5;[Avg]VV5;[Max]VV5;[data%]VV5;[Min]VV10;[Avg]VV10;[Max]VV10;[Data%]VV10;[Min]DV5;[Avg]DV5;[Max]DV5;[data%]DV5;[Min]DV10;[Avg]DV10;[Max]DV10;[data%]DV10;[Min]RS;[Avg]RS;[Max]RS;[data%]RS
2016-10-23;8.67;12.05;16.18;100.00;0.00;2.37;9.74;100.00;0.00;2.82;9.29;100.00;-41.18;318.82;318.82;100.00;-18.18;341.83;341.83;100.00;0.00;298.92;1293.00;100.00
2016-10-24;9.88;14.44;20.96;100.00;0.00;2.84;9.41;100.00;0.00;3.11;9.68;100.00;-35.65;324.35;324.35;100.00;-22.88;337.12;337.12;100.00;0.00;351.28;1093.00;100.00
2016-10-25;9.22;14.02;18.65;100.00;0.00;2.92;10.25;100.00;0.00;3.39;10.13;100.00;-24.89;335.11;335.11;100.00;-15.25;344.75;344.75;100.00;0.00;353.74;1085.00;100.00
2016-10-26;10.81;15.61;22.87;100.00;0.00;2.55;8.94;100.00;0.00;2.95;9.78;100.00;-122.09;237.91;237.91;100.00;-114.05;245.95;245.95;100.00;0.00;341.47;1111.00;100.00
2016-10-27;9.92;11.86;16.51;100.00;0.00;2.94;8.31;100.00;0.00;3.24;9.15;100.00;-69.72;290.28;290.28;100.00;-60.40;299.60;299.60;100.00;0.00;154.12;999.00;100.00
2016-10-28;10.30;12.54;17.82;100.00;0.00;2.74;8.80;100.00;0.00;2.96;9.06;100.00;-45.68;314.32;314.32;100.00;-35.60;324.40;324.40;100.00;0.00;219.38;1374.00;100.00
2016-10-29;10.59;13.02;17.08;100.00;0.00;2.95;10.25;100.00;0.00;3.18;10.43;100.00;-24.72;335.28;335.28;100.00;-14.31;345.69;345.69;100.00;0.00;338.66;1418.00;100.00
2016-10-30;10.48;12.57;17.02;100.00;0.00;2.36;7.61;100.00;0.00;2.68;7.61;100.00;-55.36;304.64;304.64;100.00;-46.87;313.13;313.13;100.00;0.00;168.99;1373.00;100.00
2016-10-31;10.30;11.97;16.33;100.00;0.00;2.86;8.88;100.00;0.00;3.20;8.72;100.00;-41.19;318.81;318.81;100.00;-29.34;330.66;330.66;100.00;0.00;128.17;1442.00;100.00
2016-11-01;9.10;13.62;19.31;100.00;0.00;2.54;10.35;100.00;0.00;2.81;10.62;100.00;-27.89;332.12;332.12;100.00;-11.96;348.05;348.05;100.00;0.00;364.75;1112.00;100.00
2016-11-02;11.90;16.29;21.06;100.00;0.00;2.11;10.07;100.00;0.00;2.42;10.80;100.00;72.89;72.89;72.89;100.00;118.12;118.12;118.12;100.00;0.00;361.08;1107.00;100.00
2016-11-03;11.52;14.99;19.74;100.00;0.00;2.61;10.09;100.00;0.00;2.93;10.47;100.00;-135.44;224.56;224.56;100.00;-122.79;237.21;237.21;100.00;0.00;354.65;1308.00;100.00
2016-11-04;10.11;12.44;16.82;100.00;0.00;2.58;9.06;100.00;0.00;2.98;8.96;100.00;-103.31;256.69;256.69;100.00;-99.70;260.30;260.30;100.00;0.00;171.58;1467.00;100.00
2016-11-05;10.11;13.00;16.70;100.00;0.00;2.72;10.33;100.00;0.00;2.97;10.45;100.00;-75.15;284.85;284.85;100.00;-65.64;294.36;294.36;100.00;0.00;326.02;1384.00;100.00
2016-11-06;10.81;13.42;17.76;100.00;0.00;2.17;8.23;100.00;0.00;2.42;8.13;100.00;-68.52;291.48;291.48;100.00;-67.77;292.23;292.23;100.00;0.00;257.79;1331.00;100.00
2016-11-07;10.10;12.56;15.87;100.00;0.00;2.89;10.04;100.00;0.00;3.17;10.27;100.00;-55.63;304.37;304.37;100.00;-44.56;315.44;315.44;100.00;0.00;220.66;1390.00;100.00
2016-11-08;10.29;12.27;15.90;100.00;0.00;3.15;8.51;100.00;0.00;3.51;8.94;100.00;-37.49;322.51;322.51;100.00;-25.58;334.42;334.42;100.00;0.00;222.92;1439.00;100.00
2016-11-09;10.02;11.92;14.45;100.00;0.00;2.74;8.47;100.00;0.00;3.00;8.96;100.00;-72.72;287.28;287.28;100.00;-63.09;296.92;296.92;100.00;0.00;158.00;1223.00;100.00
2016-11-10;9.88;12.28;14.81;100.00;0.00;2.98;9.17;100.00;0.00;3.24;9.58;100.00;-49.31;310.69;310.69;100.00;-40.00;320.01;320.01;100.00;0.00;209.99;1348.00;100.00
2016-11-11;10.02;11.71;16.88;100.00;0.00;2.52;8.11;100.00;0.00;2.75;9.04;100.00;-73.77;286.23;286.23;100.00;-63.98;296.02;296.02;100.00;0.00;177.04;1198.00;100.00
2016-11-12;9.78;10.83;12.77;100.00;0.00;1.97;6.47;100.00;0.00;2.19;6.61;100.00;-54.62;305.38;305.38;100.00;-45.19;314.81;314.81;100.00;0.00;82.96;365.60;100.00
2016-11-13;9.69;11.41;15.24;100.00;0.00;2.10;7.57;100.00;0.00;2.38;8.27;100.00;-82.20;277.80;277.80;100.00;-72.13;287.87;287.87;100.00;0.00;117.52;916.00;100.00
2016-11-14;10.02;12.48;15.90;100.00;0.00;2.93;9.19;100.00;0.00;3.24;9.66;100.00;-49.39;310.61;310.61;100.00;-39.16;320.84;320.84;100.00;0.00;311.11;1510.00;100.00
2016-11-15;9.68;14.89;21.53;100.00;0.00;2.06;8.55;100.00;0.00;2.22;8.57;100.00;-124.01;235.99;235.99;100.00;-105.75;254.25;254.25;100.00;0.00;358.86;1336.00;100.00
2016-11-16;11.00;14.77;19.88;100.00;0.00;2.24;9.51;100.00;0.00;2.69;9.68;100.00;-98.17;261.83;261.83;100.00;-85.70;274.30;274.30;100.00;0.00;298.73;1393.00;100.00
2016-11-17;11.49;16.92;20.11;100.00;0.00;1.76;5.33;100.00;0.00;1.96;5.65;100.00;-122.18;237.82;237.82;100.00;-113.25;246.75;246.75;100.00;0.00;376.41;1117.00;100.00
2016-11-18;11.28;12.92;17.43;100.00;0.00;2.71;7.68;100.00;0.00;2.91;8.04;100.00;-61.18;298.82;298.82;100.00;-51.36;308.64;308.64;100.00;0.00;160.71;1210.00;100.00
2016-11-19;11.10;13.80;19.50;100.00;0.00;3.02;10.07;100.00;0.00;3.22;10.80;100.00;-69.37;290.63;290.63;100.00;-61.90;298.10;298.10;100.00;0.00;265.60;1464.00;100.00
2016-11-20;10.35;13.81;18.84;100.00;0.00;3.38;10.92;100.00;0.00;3.65;11.05;100.00;-52.59;307.41;307.41;100.00;-46.96;313.04;313.04;100.00;0.00;375.66;1121.00;100.00
2016-11-21;10.10;12.89;18.32;100.00;0.00;2.98;9.37;100.00;0.00;3.16;9.39;100.00;-55.04;304.96;304.96;100.00;-43.84;316.16;316.16;100.00;0.00;272.59;1673.00;100.00
2016-11-22;10.44;13.38;17.99;100.00;0.00;3.33;9.98;100.00;0.00;3.57;9.84;100.00;-60.17;299.83;299.83;100.00;-52.02;307.98;307.98;100.00;0.00;350.56;1276.00;100.00
2016-11-23;9.87;13.80;18.51;100.00;0.00;3.05;10.39;100.00;0.00;3.33;11.09;100.00;-45.20;314.80;314.80;100.00;-36.16;323.85;323.85;100.00;0.00;361.18;1116.00;100.00
2016-11-24;11.52;14.22;18.42;100.00;0.00;3.09;10.35;100.00;0.00;3.29;10.00;100.00;-49.86;310.14;310.14;100.00;-40.90;319.10;319.10;100.00;0.00;374.91;1127.00;100.00
